,russo,hqa,da_fast_sequential,da_fast_parallel
random0,189.0,192.0,156.0,146.0
random1,169.0,180.0,148.0,142.0
random2,228.0,234.0,183.0,175.0
random3,190.0,209.0,175.0,166.0
random4,232.0,224.0,190.0,187.0
random5,190.0,195.0,160.0,137.0
random6,225.0,209.0,171.0,154.0
random7,172.0,180.0,156.0,147.0
random8,237.0,224.0,192.0,168.0
random9,205.0,218.0,188.0,164.0
random10,206.0,196.0,166.0,153.0
random11,204.0,212.0,177.0,171.0
random12,214.0,198.0,158.0,164.0
random13,196.0,199.0,165.0,160.0
random14,212.0,229.0,206.0,180.0
random15,193.0,199.0,160.0,155.0
random16,205.0,208.0,188.0,167.0
random17,216.0,215.0,202.0,167.0
random18,246.0,225.0,213.0,183.0
random19,205.0,213.0,179.0,169.0
random20,188.0,185.0,158.0,144.0
random21,196.0,206.0,175.0,164.0
random22,237.0,238.0,199.0,186.0
random23,195.0,208.0,167.0,150.0
random24,226.0,226.0,197.0,183.0
random25,208.0,203.0,159.0,153.0
random26,217.0,195.0,166.0,158.0
random27,190.0,200.0,159.0,148.0
random28,263.0,249.0,216.0,197.0
random29,208.0,211.0,174.0,172.0
random30,207.0,194.0,177.0,165.0
random31,223.0,220.0,188.0,173.0
random32,213.0,209.0,180.0,179.0
random33,199.0,211.0,182.0,152.0
random34,198.0,205.0,176.0,189.0
random35,207.0,212.0,189.0,178.0
random36,189.0,194.0,174.0,164.0
random37,200.0,189.0,175.0,158.0
random38,199.0,198.0,171.0,164.0
random39,218.0,218.0,194.0,165.0
random40,194.0,198.0,159.0,149.0
random41,222.0,213.0,197.0,176.0
random42,256.0,242.0,217.0,207.0
random43,203.0,207.0,183.0,163.0
random44,213.0,216.0,204.0,179.0
random45,206.0,222.0,196.0,166.0
random46,208.0,207.0,185.0,162.0
random47,194.0,195.0,162.0,155.0
random48,220.0,207.0,180.0,175.0
random49,202.0,197.0,176.0,160.0
random50,233.0,221.0,191.0,176.0
random51,196.0,200.0,172.0,154.0
random52,231.0,213.0,187.0,175.0
random53,220.0,215.0,182.0,176.0
random54,186.0,186.0,160.0,141.0
random55,191.0,205.0,164.0,154.0
random56,212.0,212.0,179.0,173.0
random57,221.0,217.0,200.0,180.0
random58,223.0,204.0,176.0,164.0
random59,197.0,194.0,169.0,159.0
random60,184.0,181.0,163.0,139.0
random61,196.0,211.0,175.0,149.0
random62,207.0,208.0,180.0,186.0
random63,204.0,218.0,176.0,178.0
cuccaro_adder,143.0,50.0,54.0,34.0
deutsch_jozsa,48.0,16.0,16.0,22.0
drapper_adder,691.0,347.0,376.0,390.0
graph_state,546.0,341.0,410.0,440.0
qft,1146.0,309.0,313.0,491.0
qnn,573.0,546.0,882.0,999.0
quantum_volume,1204.0,841.0,954.0,889.0
