,russo,hqa,da_sequential,da_parallel,azero
random0,4.571847677230835,116.93828654289246,5.064787864685059,5.342358589172363,24.438228845596313
random1,3.307730436325073,111.38712406158449,4.908902883529663,5.211320161819458,24.030506134033203
random2,3.3109495639801025,124.93573331832886,4.740926742553711,5.1155030727386475,25.673095703125
random3,3.4609169960021973,123.84929847717284,4.696132183074951,5.146918296813965,24.962197065353394
random4,3.265820503234864,120.89550256729126,4.732164621353149,5.0798180103302,26.078302145004272
random5,3.2566163539886475,110.75881814956664,4.895793676376343,5.1770100593566895,24.687755584716797
random6,3.39709210395813,110.55982637405396,4.898833990097046,5.177512884140015,25.537175178527832
random7,3.3042941093444824,116.29022812843324,4.885602235794067,5.206121921539307,25.31567883491516
random8,3.263197183609009,125.58907389640808,4.827164888381958,5.122178792953491,25.41884970664978
random9,3.278125524520874,120.59059476852416,4.87305760383606,5.132436037063599,26.405187129974365
random10,3.4249346256256104,116.37324690818788,4.893455982208252,5.145387649536133,25.5028293132782
random11,3.262991189956665,105.3087911605835,4.810259580612183,5.156376123428345,26.45092463493347
random12,3.3029978275299072,120.34312963485718,4.864815950393677,5.179758548736572,24.874393224716187
random13,3.418921709060669,114.48895835876463,4.871736526489258,5.149046421051025,24.955130577087402
random14,3.2552359104156494,132.6396701335907,4.8055596351623535,5.082683086395264,24.119376182556152
random15,3.2230682373046875,114.99196243286131,4.879873275756836,5.191618919372559,45.77212405204773
random16,3.267906188964844,114.4704008102417,4.860430479049683,5.174093008041382,25.68082880973816
random17,3.40852427482605,128.14685726165771,4.853724718093872,5.122939348220825,25.671268701553345
random18,3.327669620513916,133.69711923599243,4.8146281242370605,5.074934959411621,27.304272413253784
random19,3.288483142852783,127.52309131622314,4.845721244812012,5.1686084270477295,26.788541078567505
random20,3.45766282081604,106.56270933151244,4.905367851257324,5.290424346923828,25.67242121696472
random21,3.3316586017608643,119.51424837112428,4.879310846328735,5.143747329711914,25.13411521911621
random22,3.303984880447388,131.42558121681213,4.816701173782349,5.1076226234436035,26.72313618659973
random23,3.4294092655181885,115.766441822052,4.861335039138794,5.185315370559692,27.22869873046875
random24,3.3466482162475586,122.84616756439208,4.832298994064331,5.132831811904907,43.13778257369995
random25,3.278304100036621,116.69290399551392,4.880662679672241,5.166760683059692,26.069809436798096
random26,3.434502601623535,112.65245032310486,4.902283191680908,5.16689658164978,24.956804275512695
random27,3.2767257690429688,122.48742294311523,4.915623664855957,5.177438259124756,24.123934984207153
random28,3.2945876121521,133.58453178405762,4.773642063140869,5.068317174911499,26.54747700691223
random29,3.2966561317443848,125.02988266944884,4.880461931228638,5.1729724407196045,24.20195722579956
random30,3.4336652755737305,116.20871829986572,4.8829896450042725,5.167658090591431,24.742841958999634
random31,3.2703232765197754,127.36160397529602,4.8499860763549805,5.1330883502960205,25.590200424194336
random32,3.2510011196136475,118.3979308605194,4.892697811126709,5.13431453704834,47.46132707595825
random33,3.2577602863311768,126.31724691390993,4.889398574829102,5.151402235031128,45.015613317489624
random34,3.413628339767456,116.16678929328918,4.879119634628296,5.142985820770264,24.471728801727295
random35,3.326459646224976,121.9775776863098,4.859986305236816,5.124544620513916,25.417062997817993
random36,3.289822816848755,112.12874245643616,4.891119718551636,5.1756720542907715,28.362100839614868
random37,3.286506175994873,118.4844925403595,4.860307693481445,5.183826446533203,44.72603893280029
random38,3.479431867599488,121.53387999534608,4.857886552810669,5.147281169891357,46.82911467552185
random39,3.2526662349700928,119.39513444900513,4.866905927658081,5.0880584716796875,24.991615772247314
random40,3.249811887741089,101.93107509613036,4.874004602432251,5.16501522064209,24.100663423538208
random41,3.246366739273072,119.06655716896056,4.811975955963135,5.086008310317993,26.468724012374878
random42,3.416038274765014,141.00779461860657,4.785953998565674,5.053070306777954,25.8110933303833
random43,3.2278075218200684,120.69953155517578,4.898979425430298,5.160011053085327,24.837400913238525
random44,3.225684642791748,114.51549673080444,4.879842519760132,5.12628960609436,38.378734827041626
random45,3.224695920944214,115.1519856452942,4.83810019493103,5.158144474029541,24.106287240982056
random46,3.3573150634765625,113.03354477882384,4.84842848777771,5.177566766738892,23.64669394493103
random47,3.244800329208374,107.97628664970398,4.8738343715667725,5.162661075592041,23.56877374649048
random48,3.262357234954834,122.25453543663023,4.84294319152832,5.14329719543457,24.325889825820923
random49,3.4011340141296387,125.72330379486084,4.892819881439209,5.119996070861816,24.653220891952515
random50,3.2584939002990723,124.83143377304076,4.814777612686157,5.1172215938568115,25.371960639953613
random51,3.253639936447144,119.90967679023744,4.881546497344971,5.16216778755188,23.61513066291809
random52,3.412800073623657,126.36316418647766,4.811005115509033,5.1245481967926025,25.925280570983887
random53,3.25970196723938,123.71222448349,4.7853615283966064,5.105225324630737,24.76662278175354
random54,3.245880365371704,117.94603443145752,4.8985185623168945,5.1761345863342285,23.730490684509277
random55,3.243034839630127,124.10708260536194,4.883664846420288,5.146397113800049,45.203521966934204
random56,3.418462991714477,123.63435006141664,4.869779109954834,5.115269184112549,28.167287826538086
random57,3.260007619857788,124.01857423782349,4.8032190799713135,5.072739124298096,44.037875175476074
random58,3.330652236938477,117.60857605934144,4.840997695922852,5.092709541320801,25.451032400131226
random59,3.3721866607666016,114.21325087547302,4.9242753982543945,5.165052175521851,24.567974090576172
random60,3.216671943664551,111.44303059577942,4.906641960144043,5.175244569778442,23.471047401428223
random61,3.260628461837769,113.55231285095216,4.884010076522827,5.153857946395874,24.11190390586853
random62,3.2796456813812256,122.18113660812378,4.769975662231445,5.128328561782837,24.115124464035034
random63,3.4126126766204834,127.58609533309937,4.771860361099243,5.152503967285156,23.690595626831055
cuccaro_adder,21.56003451347351,342.39737582206726,32.33293008804321,34.38422727584839,167.24622702598572
deutsch_jozsa,3.1308865547180176,14.03212070465088,5.0719122886657715,5.370028257369995,9.18046236038208
drapper_adder,15.429929971694946,1022.5087008476256,20.842269897460938,22.012657403945923,87.62203860282898
graph_state,5.489603519439697,366.32861852645874,7.646672248840332,8.082787990570068,36.48450779914856
qft,6.647552490234375,306.5984437465668,7.9818034172058105,8.400011539459229,32.02385663986206
qnn,23.848143339157104,1916.004813671112,27.12251591682434,28.31203532218933,116.5538101196289
quantum_volume,10.361570358276367,1171.0417070388794,9.09615969657898,9.395780801773071,51.63985514640808
