,russo,hqa,da_fast_sequential,da_fast_parallel
random0,4.571847677230835,116.93828654289246,1.7660565376281738,2.3543872833251953
random1,3.307730436325073,111.38712406158449,1.3077504634857178,1.3981664180755615
random2,3.3109495639801025,124.93573331832886,1.4209952354431152,1.4959943294525146
random3,3.4609169960021973,123.84929847717284,1.4208714962005615,1.4816203117370605
random4,3.265820503234864,120.89550256729126,1.4367470741271973,1.6234750747680664
random5,3.2566163539886475,110.75881814956664,1.3187029361724854,1.2237873077392578
random6,3.39709210395813,110.55982637405396,1.344421625137329,1.3881914615631104
random7,3.3042941093444824,116.29022812843324,1.3498246669769287,1.3366787433624268
random8,3.263197183609009,125.58907389640808,1.554884672164917,1.4720642566680908
random9,3.278125524520874,120.59059476852416,1.4448559284210205,1.400371789932251
random10,3.4249346256256104,116.37324690818788,1.2823233604431152,1.330094337463379
random11,3.262991189956665,105.3087911605835,1.424124002456665,1.3411927223205566
random12,3.3029978275299072,120.34312963485718,1.3040239810943604,1.3590810298919678
random13,3.418921709060669,114.48895835876463,1.3139333724975586,1.3946971893310547
random14,3.2552359104156494,132.6396701335907,1.4581224918365479,1.456786870956421
random15,3.2230682373046875,114.99196243286131,1.2494633197784424,1.3908107280731201
random16,3.267906188964844,114.4704008102417,1.3988163471221924,1.387176752090454
random17,3.40852427482605,128.14685726165771,1.367218255996704,1.4592058658599854
random18,3.327669620513916,133.69711923599243,1.5891447067260742,1.570289134979248
random19,3.288483142852783,127.52309131622314,1.3451852798461914,1.5234289169311523
random20,3.45766282081604,106.56270933151244,1.299682855606079,1.2963929176330566
random21,3.3316586017608643,119.51424837112428,1.295147180557251,1.3718876838684082
random22,3.303984880447388,131.42558121681213,1.364194631576538,1.4749352931976318
random23,3.4294092655181885,115.766441822052,1.3131828308105469,1.2843070030212402
random24,3.3466482162475586,122.84616756439208,1.3775300979614258,1.5026636123657227
random25,3.278304100036621,116.69290399551392,1.2358932495117188,1.2920739650726318
random26,3.434502601623535,112.65245032310486,1.2497427463531494,1.3622267246246338
random27,3.2767257690429688,122.48742294311523,1.1596529483795166,1.2685363292694092
random28,3.2945876121521,133.58453178405762,1.5110089778900146,1.5745065212249756
random29,3.2966561317443848,125.02988266944884,1.3283867835998535,1.4270992279052734
random30,3.4336652755737305,116.20871829986572,1.3219988346099854,1.5004942417144775
random31,3.2703232765197754,127.36160397529602,1.3506979942321777,1.4676992893218994
random32,3.2510011196136475,118.3979308605194,1.3486285209655762,1.5506961345672607
random33,3.2577602863311768,126.31724691390993,1.352332353591919,1.2592456340789795
random34,3.413628339767456,116.16678929328918,1.3435180187225342,1.5346665382385254
random35,3.326459646224976,121.9775776863098,1.4065542221069336,1.4156811237335205
random36,3.289822816848755,112.12874245643616,1.2713520526885986,1.4124653339385986
random37,3.286506175994873,118.4844925403595,1.33176851272583,1.3519601821899414
random38,3.479431867599488,121.53387999534608,1.3097484111785889,1.389634609222412
random39,3.2526662349700928,119.39513444900513,1.362971305847168,1.40864896774292
random40,3.249811887741089,101.93107509613036,1.337594985961914,1.2857811450958252
random41,3.246366739273072,119.06655716896056,1.3726086616516113,1.461057186126709
random42,3.416038274765014,141.00779461860657,1.4396865367889404,1.5994935035705566
random43,3.2278075218200684,120.69953155517578,1.318824052810669,1.3687794208526611
random44,3.225684642791748,114.51549673080444,1.4074316024780273,1.43275785446167
random45,3.224695920944214,115.1519856452942,1.5198159217834473,1.3618853092193604
random46,3.3573150634765625,113.03354477882384,1.4974489212036133,1.4253737926483154
random47,3.244800329208374,107.97628664970398,1.2960901260375977,1.3579416275024414
random48,3.262357234954834,122.25453543663023,1.4118058681488037,1.4209110736846924
random49,3.4011340141296387,125.72330379486084,1.3746116161346436,1.3446462154388428
random50,3.2584939002990723,124.83143377304076,1.3791897296905518,1.4600753784179688
random51,3.253639936447144,119.90967679023744,1.342099666595459,1.2796900272369385
random52,3.412800073623657,126.36316418647766,1.5665693283081055,1.437946081161499
random53,3.25970196723938,123.71222448349,1.481464147567749,1.442263126373291
random54,3.245880365371704,117.94603443145752,1.3480501174926758,1.2624623775482178
random55,3.243034839630127,124.10708260536194,1.487196683883667,1.2769968509674072
random56,3.418462991714477,123.63435006141664,1.5237126350402832,1.44472336769104
random57,3.260007619857788,124.01857423782349,1.6540815830230713,1.425506830215454
random58,3.330652236938477,117.60857605934144,1.4875245094299316,1.3417186737060547
random59,3.3721866607666016,114.21325087547302,1.4038026332855225,1.2809696197509766
random60,3.216671943664551,111.44303059577942,1.4761967658996582,1.1593677997589111
random61,3.260628461837769,113.55231285095216,1.4736292362213135,1.3971028327941895
random62,3.2796456813812256,122.18113660812378,1.487851619720459,1.5265519618988037
random63,3.4126126766204834,127.58609533309937,1.479630470275879,1.5087149143218994
cuccaro_adder,21.56003451347351,342.39737582206726,0.7111001014709473,0.48378515243530273
deutsch_jozsa,3.1308865547180176,14.03212070465088,0.35342884063720703,0.42107081413269043
drapper_adder,15.429929971694946,1022.5087008476256,3.0416836738586426,3.093952178955078
graph_state,5.489603519439697,366.32861852645874,2.590890645980835,3.043013334274292
qft,6.647552490234375,306.5984437465668,2.1009955406188965,3.0857279300689697
qnn,23.848143339157104,1916.004813671112,4.953722953796387,5.540271520614624
quantum_volume,10.361570358276367,1171.0417070388794,3.997293472290039,3.968069076538086
