circuit,russo,hqa
random0,539.0,372.0
random1,512.0,354.0
random2,520.0,323.0
random3,481.0,390.0
random4,489.0,363.0
random5,507.0,398.0
random6,502.0,389.0
random7,515.0,337.0
random8,519.0,336.0
random9,540.0,341.0
random10,533.0,379.0
random11,576.0,379.0
random12,526.0,363.0
random13,432.0,348.0
random14,430.0,377.0
random15,470.0,317.0
random16,480.0,355.0
random17,481.0,347.0
random18,524.0,376.0
random19,485.0,360.0
random20,514.0,372.0
random21,482.0,349.0
random22,503.0,366.0
random23,454.0,379.0
random24,578.0,372.0
random25,476.0,413.0
random26,470.0,352.0
random27,477.0,354.0
random28,461.0,393.0
random29,488.0,331.0
random30,460.0,323.0
random31,475.0,365.0
random32,482.0,370.0
random33,516.0,343.0
random34,479.0,322.0
random35,481.0,392.0
random36,543.0,398.0
random37,516.0,381.0
random38,476.0,366.0
random39,513.0,367.0
random40,514.0,381.0
random41,478.0,350.0
random42,508.0,348.0
random43,463.0,336.0
random44,493.0,347.0
random45,507.0,355.0
random46,527.0,353.0
random47,490.0,369.0
random48,515.0,380.0
random49,492.0,373.0
random50,566.0,322.0
random51,487.0,339.0
random52,477.0,387.0
random53,524.0,353.0
random54,587.0,372.0
random55,516.0,370.0
random56,492.0,365.0
random57,501.0,347.0
random58,523.0,333.0
random59,538.0,341.0
random60,463.0,316.0
random61,482.0,369.0
random62,496.0,403.0
random63,474.0,388.0
cuccaro_adder,517.0,110.0
deutsch_jozsa,363.0,36.0
drapper_adder,2631.0,955.0
graph_state,2892.0,1485.0
qft,4887.0,1149.0
qnn,3549.0,2116.0
quantum_volume,5289.0,3908.0
